age,structure_name,gene,rpkm
8 pcw,occipital neocortex,FYN,27.509293
8 pcw,primary motor-sensory cortex (samples),FYN,38.364214
8 pcw,amygdaloid complex,FYN,33.325652
8 pcw,medial ganglionic eminence,FYN,27.752518
8 pcw,posterior (caudal) superior temporal cortex (area 22c),FYN,35.282686
8 pcw,upper (rostral) rhombic lip,FYN,47.728806
8 pcw,caudal ganglionic eminence,FYN,33.85918
8 pcw,dorsal thalamus,FYN,58.588422
8 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,30.912384
8 pcw,dorsolateral prefrontal cortex,FYN,28.361589
8 pcw,orbital frontal cortex,FYN,30.08218
8 pcw,lateral ganglionic eminence,FYN,36.310846
8 pcw,"inferolateral temporal cortex (area TEv, area 20)",FYN,34.043666
8 pcw,hippocampus (hippocampal formation),FYN,38.254876
8 pcw,ventrolateral prefrontal cortex,FYN,35.016844
8 pcw,parietal neocortex,FYN,35.507199
9 pcw,dorsolateral prefrontal cortex,FYN,27.04508
9 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,30.153473
9 pcw,amygdaloid complex,FYN,26.98836
9 pcw,dorsal thalamus,FYN,42.877891
9 pcw,upper (rostral) rhombic lip,FYN,39.043121
9 pcw,lateral ganglionic eminence,FYN,18.997255
9 pcw,primary motor-sensory cortex (samples),FYN,23.489971
9 pcw,medial ganglionic eminence,FYN,19.737124
9 pcw,temporal neocortex,FYN,26.892003
9 pcw,hippocampus (hippocampal formation),FYN,28.598199
9 pcw,occipital neocortex,FYN,23.533176
9 pcw,caudal ganglionic eminence,FYN,18.526843
9 pcw,orbital frontal cortex,FYN,29.857549
9 pcw,parietal neocortex,FYN,26.189436
12 pcw,hippocampus (hippocampal formation),FYN,35.918773
12 pcw,dorsal thalamus,FYN,38.785471
12 pcw,amygdaloid complex,FYN,33.935643
12 pcw,primary auditory cortex (core),FYN,25.616301
12 pcw,"primary visual cortex (striate cortex, area V1/17)",FYN,24.34258
12 pcw,anterior (rostral) cingulate (medial prefrontal) cortex,FYN,34.988218
12 pcw,striatum,FYN,25.708797
12 pcw,"primary motor cortex (area M1, area 4)",FYN,29.622396
12 pcw,dorsolateral prefrontal cortex,FYN,33.646759
